Total messages: 81 (Errors: 78, Warnings: 0)
Returning 78 messages for level "error"

[ERROR] WebSocket connection to 'ws://127.0.0.1:3333/ws?token=9214b31960f7e9662452d24800ed3e7ad803080f45789290b36d2039b3c29ff1' failed: HTTP Authentication failed; no valid credentials available @ http://localhost:1420/@fs/D:/Projects/MS%20Claw/waggle-poc/packages/ui/src/services/local-adapter.ts:38
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/capabilities/status:0
[ERROR] WebSocket connection to 'ws://127.0.0.1:3333/ws?token=9214b31960f7e9662452d24800ed3e7ad803080f45789290b36d2039b3c29ff1' failed: HTTP Authentication failed; no valid credentials available @ http://localhost:1420/@fs/D:/Projects/MS%20Claw/waggle-poc/packages/ui/src/services/local-adapter.ts:38
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/personas:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/approval/pending:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/litellm/models:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/offline/status:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/notifications/stream:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/capabilities/status:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/personas:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/approval/pending:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/litellm/models:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/offline/status:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/capabilities/status:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/workspaces/ana-pm-mega-uat/context:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/workspaces/ana-product-team/context:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/workspaces/ana-uat-workspace/context:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/workspaces/all-projects-hub-mega-uat/context:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/workspaces/api-test-mega/context:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/workspaces/case-2026-mega-uat/context:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/workspaces/client-acme-corp/context:0
